candle_begin_time,total_mcap
2023-08-07,567589047795.0139
2023-08-08,578990356568.5599
2023-08-09,575052155346.8076
2023-08-10,572509489793.7637
2023-08-11,571917121193.6936
2023-08-12,572302297645.3182
2023-08-13,569738074810.266
2023-08-14,572212182981.4635
2023-08-15,567610646871.1595
2023-08-16,558522450868.2687
2023-08-17,518904301900.91205
2023-08-18,506957746773.51483
2023-08-19,507889708783.6662
2023-08-20,509733936200.18805
2023-08-21,508487129875.93066
2023-08-22,506709265107.95886
2023-08-23,514519784075.0772
2023-08-24,509301597240.5669
2023-08-25,507090156466.7499
2023-08-26,506348824288.3792
2023-08-27,507949530130.62445
2023-08-28,508288516574.1042
2023-08-29,539882481562.2096
2023-08-30,531528938704.31854
2023-08-31,504957555550.68805
2023-09-01,502435875823.5878
2023-09-02,503786436420.8047
2023-09-03,505774022624.27704
2023-09-04,502737261224.4895
2023-09-05,502126527593.8894
2023-09-06,501626995525.449
2023-09-07,511135039200.56104
2023-09-08,504640503023.22845
2023-09-09,504470470462.74414
2023-09-10,503258420290.4087
2023-09-11,490238023957.29193
2023-09-12,503327969520.57434
2023-09-13,511047406839.182
2023-09-14,517140816823.9426
2023-09-15,518517274732.9803
2023-09-16,517755173478.595
2023-09-17,517116820259.63464
2023-09-18,521431894478.36694
2023-09-19,530358455131.95953
2023-09-20,528841974545.7255
2023-09-21,517864270862.43616
2023-09-22,518118003343.4583
2023-09-23,518140112048.3021
2023-09-24,511876976253.451
2023-09-25,512712185601.421
2023-09-26,511151155986.7838
2023-09-27,513818515485.0791
2023-09-28,526883682824.2976
2023-09-29,524766460979.29376
2023-09-30,525885640459.68384
2023-10-01,545719315433.9536
2023-10-02,536912579985.54565
2023-10-03,534975274335.4991
2023-10-04,542203190963.03467
2023-10-05,534747363212.2259
2023-10-06,545126652148.47595
2023-10-07,545589873920.51056
2023-10-08,544957531993.8882
2023-10-09,538127916932.9849
2023-10-10,534398434702.0007
2023-10-11,524325019033.97375
2023-10-12,522077986120.885
2023-10-13,524162174273.4524
2023-10-14,524174123665.7525
2023-10-15,530017041635.80646
2023-10-16,556577526992.9425
2023-10-17,554581972707.2559
2023-10-18,552901231268.0801
2023-10-19,560568426319.194
2023-10-20,579392054001.3398
2023-10-21,584015234381.8506
2023-10-22,585517392721.6691
2023-10-23,645916652811.4059
2023-10-24,661859706505.6366
2023-10-25,673629831821.4584
2023-10-26,666904079221.5374
2023-10-27,662115721496.9852
2023-10-28,665660534679.1207
2023-10-29,674455804209.6664
2023-10-30,673783741121.6652
2023-10-31,677047621125.3417
2023-11-01,692109682986.4946
2023-11-02,682394289860.8604
2023-11-03,678402411403.7858
2023-11-04,685272381015.3265
2023-11-05,684667682720.5492
2023-11-06,684460477854.098
2023-11-07,692425627404.1987
2023-11-08,696595346035.1864
2023-11-09,716902433922.6318
2023-11-10,729069481963.9193
2023-11-11,725668445884.8541
2023-11-12,724074263172.693
2023-11-13,713311947480.5117
2023-11-14,694491212462.3796
2023-11-15,740312548128.3306
2023-11-16,706617161805.03
2023-11-17,715288296429.971
2023-11-18,715107332423.285
2023-11-19,730802775303.5515
2023-11-20,732607478252.0011
2023-11-21,700129319722.619
2023-11-22,731805245915.8313
2023-11-23,729048665033.1846
2023-11-24,737506220401.2948
2023-11-25,739040907499.5677
2023-11-26,732864171270.8274
2023-11-27,728495474098.4501
2023-11-28,739813120655.7396
2023-11-29,740379866134.1483
2023-11-30,737560917365.8152
2023-12-01,756690015947.5225
2023-12-02,772125221563.1228
2023-12-03,781986059221.0338
2023-12-04,821180324321.7472
2023-12-05,862310043283.4308
2023-12-06,855807598358.2139
2023-12-07,846962790499.3678
2023-12-08,864097723185.3221
2023-12-09,855518589113.8086
2023-12-10,856923262037.2839
2023-12-11,807028644888.4982
2023-12-12,811106735270.1526
2023-12-13,839333709178.5863
2023-12-14,841983433932.0957
2023-12-15,820610949396.4451
2023-12-16,826722808111.62
2023-12-17,809628537784.4156
2023-12-18,834312073585.6791
2023-12-19,827447113190.3953
2023-12-20,854532316613.7391
2023-12-21,858819785954.7365
2023-12-22,861384314118.886
2023-12-23,856371815373.69
2023-12-24,842253948410.2347
2023-12-25,853982087896.4202
2023-12-26,832620130497.9524
2023-12-27,850720785457.9441
2023-12-28,834791614273.2268
2023-12-29,824484176968.8627
2023-12-30,825646829609.8566
2023-12-31,827811209384.4116
2024-01-01,865106026911.0958
2024-01-02,880631637169.8782
2024-01-03,839345928378.3319
2024-01-04,865482457123.1127
2024-01-05,865182724165.6597
2024-01-06,861821994190.9375
2024-01-07,860951836726.2927
2024-01-08,920302445948.2654
2024-01-09,904067321453.0447
2024-01-10,913669280076.5753
2024-01-11,908639958360.6858
2024-01-12,839796421013.3346
2024-01-13,839627405357.2458
2024-01-14,819159863482.5248
2024-01-15,833216754803.9932
2024-01-16,845855247845.1476
2024-01-17,837804850463.4691
2024-01-18,808819115627.0065
2024-01-19,815839646533.2756
2024-01-20,816801167080.2489
2024-01-21,814488966035.6124
2024-01-22,774565393660.7036
2024-01-23,781234029910.5984
2024-01-24,785809931670.8667
2024-01-25,783046781497.7402
2024-01-26,820011355201.1183
2024-01-27,826001135532.3408
2024-01-28,824387868796.1003
2024-01-29,848995300207.8746
2024-01-30,842451754278.6862
2024-01-31,835246625105.3467
2024-02-01,844943939979.7809
2024-02-02,847154029605.0342
2024-02-03,843398823395.7374
2024-02-04,835421763160.2784
2024-02-05,836936067591.2921
2024-02-06,845338495831.204
2024-02-07,869585299010.1787
2024-02-08,888921474480.4753
2024-02-09,925184504544.0455
2024-02-10,937476684153.2465
2024-02-11,947774152969.5302
2024-02-12,980490999415.3662
2024-02-13,976299863551.8821
2024-02-14,1017254026224.3826
2024-02-15,1019499948270.2942
2024-02-16,1023893671410.4578
2024-02-17,1014181383158.9856
2024-02-18,1023243073518.3107
2024-02-19,1016544621993.9907
2024-02-20,1026519013526.1592
2024-02-21,1017814980562.8224
2024-02-22,1007369631450.1813
2024-02-23,996165857694.3784
2024-02-24,1012689168467.9385
2024-02-25,1015926591604.2227
2024-02-26,1070743961954.8134
2024-02-27,1121125657663.999
2024-02-28,1227615937615.3716
2024-02-29,1202008882583.471
2024-03-01,1226468270480.937
2024-03-02,1218449164616.5789
2024-03-03,1240856664934.8015
2024-03-04,1342332633739.2043
2024-03-05,1253424354814.099
2024-03-06,1298773911639.593
2024-03-07,1314934292554.9678
2024-03-08,1342009319611.5088
2024-03-09,1345987605375.5032
2024-03-10,1356284493147.4392
2024-03-11,1417356810457.4294
2024-03-12,1404794088954.9575
2024-03-13,1436352951618.6477
2024-03-14,1403264276031.921
2024-03-15,1364150637820.9895
2024-03-16,1283846162998.258
2024-03-17,1344519020281.36
2024-03-18,1327873590442.009
2024-03-19,1217137387603.3381
2024-03-20,1335173032103.4382
2024-03-21,1287603295335.9868
2024-03-22,1253986522697.8015
2024-03-23,1259620618892.609
2024-03-24,1322059954873.0405
2024-03-25,1375690608209.125
2024-03-26,1376323519816.7007
2024-03-27,1365910888847.1082
2024-03-28,1391339203619.6738
2024-03-29,1374644264213.454
2024-03-30,1369843490689.7664
2024-03-31,1403111454607.2886
2024-04-01,1371084777892.6858
2024-04-02,1287445062146.3467
2024-04-03,1298004950904.118
2024-04-04,1347796231417.6953
2024-04-05,1334655959662.5698
2024-04-06,1355547292318.7493
2024-04-07,1364795731926.5227
2024-04-08,1409507187267.0898
2024-04-09,1360530067698.058
2024-04-10,1389108550022.3855
2024-04-11,1378790995440.1672
2024-04-12,1322466213466.3945
2024-04-13,1256123846098.2253
2024-04-14,1293922154520.6414
2024-04-15,1248462490139.377
2024-04-16,1256116951430.8474
2024-04-17,1206267308554.87
2024-04-18,1250341408193.5647
2024-04-19,1256915466624.189
2024-04-20,1279601371844.6877
2024-04-21,1278296008665.2222
2024-04-22,1315951297700.0654
2024-04-23,1307512895862.0156
2024-04-24,1265598226299.3147
2024-04-25,1269661117701.5264
2024-04-26,1255384291777.6306
2024-04-27,1248792651213.0808
2024-04-28,1242796347527.058
2024-04-29,1257154741712.5857
2024-04-30,1194083722533.3425
2024-05-01,1147184157457.9104
2024-05-02,1164330817512.2974
2024-05-03,1238530810734.178
2024-05-04,1258285440152.4949
2024-05-05,1261062489752.161
2024-05-06,1243968862586.557
2024-05-07,1227702511429.1997
2024-05-08,1205137991311.468
2024-05-09,1241839248275.6677
2024-05-10,1197409669892.0366
2024-05-11,1197457102427.0515
2024-05-12,1210380122738.0986
2024-05-13,1239030699126.6567
2024-05-14,1212489326854.2722
2024-05-15,1305391054931.8523
2024-05-16,1285013404181.6982
2024-05-17,1320904703448.7656
2024-05-18,1318742415299.4692
2024-05-19,1305724850649.1
2024-05-20,1407609324352.383
2024-05-21,1381798801867.8438
2024-05-22,1361848737824.024
2024-05-23,1338369241229.4587
2024-05-24,1350172034320.4592
2024-05-25,1364781225677.559
2024-05-26,1350085103902.054
2024-05-27,1367374775956.0754
2024-05-28,1345755062898.533
2024-05-29,1331639566299.3445
2024-05-30,1347947098072.503
2024-05-31,1329997202173.671
2024-06-01,1334271567362.8105
2024-06-02,1335182728999.4624
2024-06-03,1355956442572.8647
2024-06-04,1390732159329.1929
2024-06-05,1400900483099.0972
2024-06-06,1394512296403.9438
2024-06-07,1366686633128.9922
2024-06-08,1365997475511.9216
2024-06-09,1372773642949.3923
2024-06-10,1370130002868.5918
2024-06-11,1327182056471.6348
2024-06-12,1345134120906.9233
2024-06-13,1315896425214.896
2024-06-14,1301221967450.1562
2024-06-15,1304788441997.3538
2024-06-16,1313675249516.0288
2024-06-17,1310771374540.3745
2024-06-18,1284195582481.7056
2024-06-19,1280663574367.213
2024-06-20,1278081520105.0195
2024-06-21,1263661931352.7305
2024-06-22,1266765676538.9502
2024-06-23,1245656822237.8308
2024-06-24,1188446987815.4385
2024-06-25,1218587029578.391
2024-06-26,1199038781431.8152
2024-06-27,1214720770572.6545
2024-06-28,1189406909143.659
2024-06-29,1200610071822.9116
2024-06-30,1235944779945.441
2024-07-01,1239389194056.0237
2024-07-02,1223171892635.823
2024-07-03,1186592705890.2537
2024-07-04,1123568935037.4524
2024-07-05,1117355596306.7998
2024-07-06,1149722226186.1558
2024-07-07,1101324021018.8955
2024-07-08,1118206962401.308
2024-07-09,1143928890880.1345
2024-07-10,1138673505773.1003
2024-07-11,1130840802043.3381
2024-07-12,1141786144917.2368
2024-07-13,1168068511268.4805
2024-07-14,1198755021571.6812
2024-07-15,1279638948785.552
2024-07-16,1284145962547.5698
2024-07-17,1264877578393.942
2024-07-18,1262048784355.1802
2024-07-19,1316055389301.9866
2024-07-20,1325036491277.2244
2024-07-21,1344621809191.3218
2024-07-22,1333426974098.348
2024-07-23,1300758909180.9343
2024-07-24,1289827489652.2554
2024-07-25,1297853036649.4924
2024-07-26,1340011287267.166
2024-07-27,1338095525896.6
2024-07-28,1346858598263.724
2024-07-29,1318560078902.0894
2024-07-30,1306379408729.07
2024-07-31,1275193429330.723
2024-08-01,1289791078835.9868
2024-08-02,1212013217933.2832
2024-08-03,1197535321901.7305
2024-08-04,1146976665063.011
2024-08-05,1065583671764.7668
2024-08-06,1105925660084.0444
2024-08-07,1086075395877.4991
2024-08-08,1217995509309.7607
2024-08-09,1201638321922.5837
2024-08-10,1202959490872.7168
2024-08-11,1159045322922.7234
2024-08-12,1171605394049.8826
2024-08-13,1196406668941.8823
2024-08-14,1159472429957.0261
2024-08-15,1136263840978.9922
2024-08-16,1162624623216.0283
2024-08-17,1174197385804.5706
2024-08-18,1154583126177.047
2024-08-19,1174536992004.6147
2024-08-20,1165085109767.63
